,Group,Sample,BW,dpi,BT,pred_y,CI_upper,CI_lower
166,바이러스 접종군,V5,25.56,2,36.2,24.53730308578184,25.139476028104244,23.935130143459435
167,바이러스 접종군,V6,24.57,2,37.2,25.0497940753006,25.651967017623004,24.447621132978195
168,바이러스 접종군,V7,25.85,2,37.1,24.99854497634872,25.600717918671126,24.396372034026317
169,바이러스 접종군,V8,24.34,2,36.9,24.89604677844497,25.498219720767374,24.293873836122565
170,바이러스 접종군,V9,27.75,2,38.7,25.818530559578736,26.42070350190114,25.21635761725633
171,바이러스 접종군,V10,28.12,2,37.9,25.40853776796373,26.010710710286133,24.806364825641325
172,바이러스 접종군,V1,23.4,2,36.6,24.742299481589345,25.34447242391175,24.14012653926694
173,바이러스 접종군,V2,26.3,2,36.5,24.691050382637467,25.29322332495987,24.088877440315063
174,바이러스 접종군,V3,20.2,2,36.7,24.79354858054122,25.395721522863624,24.191375638218815
175,바이러스 접종군,V4,28.3,2,36.5,24.691050382637467,25.29322332495987,24.088877440315063
176,바이러스 접종군,V5,24.3,2,37.9,25.40853776796373,26.010710710286133,24.806364825641325
177,바이러스 접종군,V6,25.2,2,37.3,25.10104317425247,25.703216116574875,24.498870231930066
178,바이러스 접종군,V7,20.6,2,37.3,25.10104317425247,25.703216116574875,24.498870231930066
179,바이러스 접종군,V8,23.5,2,36.8,24.844797679493094,25.4469706218155,24.24262473717069
180,바이러스 접종군,V9,19.4,2,35.2,24.024812096263084,24.626985038585488,23.42263915394068
181,바이러스 접종군,V10,23.4,2,35.1,23.973562997311205,24.57573593963361,23.3713900549888
182,바이러스 접종군,V1,26.3,2,39.0,25.972277856434363,26.574450798756768,25.37010491411196
183,바이러스 접종군,V2,22.6,2,37.6,25.2547904711081,25.856963413430506,24.652617528785697
184,바이러스 접종군,V3,24.6,2,37.3,25.10104317425247,25.703216116574875,24.498870231930066
185,바이러스 접종군,V4,22.5,2,38.1,25.51103596586748,26.113208908189886,24.908863023545077
186,바이러스 접종군,V5,23.9,2,36.8,24.844797679493094,25.4469706218155,24.24262473717069
187,바이러스 접종군,V6,21.2,2,38.3,25.61353416377123,26.215707106093635,25.011361221448826
188,바이러스 접종군,V1,22.5,2,36.2,24.53730308578184,25.139476028104244,23.935130143459435
189,바이러스 접종군,V2,21.9,2,37.7,25.30603957005998,25.908212512382384,24.703866627737575
190,바이러스 접종군,V3,22.9,2,36.2,24.53730308578184,25.139476028104244,23.935130143459435
191,바이러스 접종군,V4,24.7,2,37.2,25.0497940753006,25.651967017623004,24.447621132978195
192,바이러스 접종군,V5,26.2,2,36.8,24.844797679493094,25.4469706218155,24.24262473717069
193,바이러스 접종군,V6,23.7,2,38.1,25.51103596586748,26.113208908189886,24.908863023545077
194,바이러스 접종군,V7,23.2,2,37.6,25.2547904711081,25.856963413430506,24.652617528785697
195,바이러스 접종군,V8,23.0,2,37.3,25.10104317425247,25.703216116574875,24.498870231930066
196,바이러스 접종군,V9,25.8,2,38.4,25.66478326272311,26.266956205045513,25.062610320400704
197,바이러스 접종군,V10,23.6,2,37.2,25.0497940753006,25.651967017623004,24.447621132978195
198,바이러스 접종군,V1,21.39,3,38.0,25.459786866915604,26.061959809238008,24.8576139245932
199,바이러스 접종군,V2,24.69,3,36.9,24.89604677844497,25.498219720767374,24.293873836122565
200,바이러스 접종군,V3,27.01,3,37.1,24.99854497634872,25.600717918671126,24.396372034026317
201,바이러스 접종군,V4,25.99,3,37.0,24.947295877396847,25.54946881971925,24.345122935074443
202,바이러스 접종군,V5,25.89,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
203,바이러스 접종군,V6,29.27,3,37.0,24.947295877396847,25.54946881971925,24.345122935074443
204,바이러스 접종군,V7,29.4,3,36.6,24.742299481589345,25.34447242391175,24.14012653926694
205,바이러스 접종군,V8,23.73,3,36.3,24.588552184733715,25.19072512705612,23.98637924241131
206,바이러스 접종군,V9,27.12,3,36.2,24.53730308578184,25.139476028104244,23.935130143459435
207,바이러스 접종군,V10,25.57,3,35.9,24.383555788926213,24.985728731248617,23.781382846603808
208,바이러스 접종군,V11,25.89,3,36.0,24.434804887878087,25.03697783020049,23.832631945555683
209,바이러스 접종군,V12,27.39,3,36.4,24.63980128368559,25.241974226007994,24.037628341363185
210,바이러스 접종군,V13,27.19,3,35.5,24.178559393118707,24.78073233544111,23.576386450796303
211,바이러스 접종군,V14,27.19,3,36.2,24.53730308578184,25.139476028104244,23.935130143459435
212,바이러스 접종군,V15,28.99,3,35.5,24.178559393118707,24.78073233544111,23.576386450796303
213,바이러스 접종군,V1,28.99,3,35.5,24.178559393118707,24.78073233544111,23.576386450796303
214,바이러스 접종군,V2,28.99,3,35.5,24.178559393118707,24.78073233544111,23.576386450796303
215,바이러스 접종군,V3,28.99,3,35.5,24.178559393118707,24.78073233544111,23.576386450796303
216,바이러스 접종군,V4,28.99,3,35.5,24.178559393118707,24.78073233544111,23.576386450796303
217,바이러스 접종군,V5,28.99,3,35.5,24.178559393118707,24.78073233544111,23.576386450796303
218,바이러스 접종군,V6,23.54,3,36.1,24.486053986829965,25.08822692915237,23.88388104450756
219,바이러스 접종군,V7,23.61,3,36.5,24.691050382637467,25.29322332495987,24.088877440315063
220,바이러스 접종군,V8,23.02,3,35.5,24.178559393118707,24.78073233544111,23.576386450796303
221,바이러스 접종군,V9,25.99,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
222,바이러스 접종군,V10,26.96,3,36.7,24.79354858054122,25.395721522863624,24.191375638218815
223,바이러스 접종군,V11,23.65,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
224,바이러스 접종군,V12,24.0,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
225,바이러스 접종군,V13,24.71,3,36.9,24.89604677844497,25.498219720767374,24.293873836122565
226,바이러스 접종군,V14,25.16,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
227,바이러스 접종군,V15,24.62,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
228,바이러스 접종군,V1,24.62,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
229,바이러스 접종군,V2,24.62,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
230,바이러스 접종군,V3,24.62,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
231,바이러스 접종군,V4,24.62,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
232,바이러스 접종군,V5,24.62,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
233,바이러스 접종군,V6,23.54,3,36.1,24.486053986829965,25.08822692915237,23.88388104450756
234,바이러스 접종군,V7,23.61,3,36.5,24.691050382637467,25.29322332495987,24.088877440315063
235,바이러스 접종군,V8,23.02,3,35.5,24.178559393118707,24.78073233544111,23.576386450796303
236,바이러스 접종군,V9,25.99,3,36.8,24.844797679493094,25.4469706218155,24.24262473717069
237,바이러스 접종군,V10,26.96,3,36.7,24.79354858054122,25.395721522863624,24.191375638218815
238,바이러스 접종군,V1,26.96,3,36.7,24.79354858054122,25.395721522863624,24.191375638218815
239,바이러스 접종군,V2,26.96,3,36.7,24.79354858054122,25.395721522863624,24.191375638218815
240,바이러스 접종군,V3,26.96,3,36.7,24.79354858054122,25.395721522863624,24.191375638218815
241,바이러스 접종군,V4,26.96,3,36.7,24.79354858054122,25.395721522863624,24.191375638218815
242,바이러스 접종군,V5,26.96,3,36.7,24.79354858054122,25.395721522863624,24.191375638218815
243,바이러스 접종군,V6,21.3,3,36.3,24.588552184733715,25.19072512705612,23.98637924241131
244,바이러스 접종군,V7,18.4,3,36.6,24.742299481589345,25.34447242391175,24.14012653926694
245,바이러스 접종군,V8,20.4,3,35.9,24.383555788926213,24.985728731248617,23.781382846603808
246,바이러스 접종군,V9,17.2,3,33.5,23.15357741408119,23.755750356403595,22.551404471758786
247,바이러스 접종군,V10,20.5,3,34.8,23.819815700455578,24.421988642777983,23.217642758133174
248,바이러스 접종군,V1,20.5,3,34.8,23.819815700455578,24.421988642777983,23.217642758133174
249,바이러스 접종군,V2,22.8,3,36.9,24.89604677844497,25.498219720767374,24.293873836122565
250,바이러스 접종군,V3,24.1,3,37.6,25.2547904711081,25.856963413430506,24.652617528785697
251,바이러스 접종군,V4,22.2,3,37.7,25.30603957005998,25.908212512382384,24.703866627737575
252,바이러스 접종군,V5,22.2,3,37.7,25.30603957005998,25.908212512382384,24.703866627737575
253,바이러스 접종군,V6,22.2,3,37.7,25.30603957005998,25.908212512382384,24.703866627737575
254,바이러스 접종군,V1,22.2,3,37.7,25.30603957005998,25.908212512382384,24.703866627737575
255,바이러스 접종군,V2,22.2,3,37.7,25.30603957005998,25.908212512382384,24.703866627737575
256,바이러스 접종군,V3,22.2,3,37.7,25.30603957005998,25.908212512382384,24.703866627737575
257,바이러스 접종군,V4,22.2,3,37.7,25.30603957005998,25.908212512382384,24.703866627737575
258,바이러스 접종군,V5,22.2,3,37.7,25.30603957005998,25.908212512382384,24.703866627737575
259,바이러스 접종군,V6,23.9,3,36.2,24.53730308578184,25.139476028104244,23.935130143459435
260,바이러스 접종군,V7,23.3,3,36.1,24.486053986829965,25.08822692915237,23.88388104450756
261,바이러스 접종군,V8,22.8,3,36.0,24.434804887878087,25.03697783020049,23.832631945555683
262,바이러스 접종군,V9,26.2,3,37.1,24.99854497634872,25.600717918671126,24.396372034026317
263,바이러스 접종군,V10,24.2,3,36.5,24.691050382637467,25.29322332495987,24.088877440315063
264,바이러스 접종군,V1,21.53,4,36.1,24.486053986829965,25.08822692915237,23.88388104450756
265,바이러스 접종군,V2,24.74,4,35.2,24.024812096263084,24.626985038585488,23.42263915394068
266,바이러스 접종군,V3,27.61,4,36.3,24.588552184733715,25.19072512705612,23.98637924241131
267,바이러스 접종군,V4,26.4,4,36.5,24.691050382637467,25.29322332495987,24.088877440315063
268,바이러스 접종군,V5,26.22,4,36.2,24.53730308578184,25.139476028104244,23.935130143459435
269,바이러스 접종군,V6,30.12,4,35.8,24.332306689974335,24.93447963229674,23.73013374765193
270,바이러스 접종군,V7,29.63,4,35.6,24.229808492070585,24.83198143439299,23.62763554974818
271,바이러스 접종군,V8,23.56,4,35.5,24.178559393118707,24.78073233544111,23.576386450796303
272,바이러스 접종군,V9,27.1,4,35.7,24.281057591022464,24.883230533344868,23.67888464870006
273,바이러스 접종군,V10,25.88,4,36.7,24.79354858054122,25.395721522863624,24.191375638218815
274,바이러스 접종군,V11,26.03,4,36.5,24.691050382637467,25.29322332495987,24.088877440315063
275,바이러스 접종군,V12,27.8,4,35.5,24.178559393118707,24.78073233544111,23.576386450796303
276,바이러스 접종군,V13,27.27,4,35.9,24.383555788926213,24.985728731248617,23.781382846603808
277,바이러스 접종군,V14,27.26,4,36.0,24.434804887878087,25.03697783020049,23.832631945555683
278,바이러스 접종군,V15,29.0,4,36.0,24.434804887878087,25.03697783020049,23.832631945555683
279,바이러스 접종군,V1,29.0,4,36.0,24.434804887878087,25.03697783020049,23.832631945555683
280,바이러스 접종군,V2,29.0,4,36.0,24.434804887878087,25.03697783020049,23.832631945555683
281,바이러스 접종군,V3,29.0,4,36.0,24.434804887878087,25.03697783020049,23.832631945555683
282,바이러스 접종군,V4,29.0,4,36.0,24.434804887878087,25.03697783020049,23.832631945555683
283,바이러스 접종군,V5,29.0,4,36.0,24.434804887878087,25.03697783020049,23.832631945555683
284,바이러스 접종군,V6,20.85,4,36.2,24.53730308578184,25.139476028104244,23.935130143459435
285,바이러스 접종군,V7,21.33,4,34.9,23.871064799407453,24.473237741729857,23.26889185708505
286,바이러스 접종군,V8,21.38,4,33.4,23.102328315129316,23.70450125745172,22.500155372806912
287,바이러스 접종군,V9,24.0,4,35.2,24.024812096263084,24.626985038585488,23.42263915394068
