,Group,Sample,BT,dpi,BW,pred_y,CI_lower,CI_upper
155,바이러스+치료제,TL3,36.3,2,24.18,24.588552184733715,24.415430335847574,24.761674033619855
208,바이러스+치료제,TL3,36.3,3,27.22,24.588552184733715,24.415430335847574,24.761674033619855
400,바이러스+치료제,TL12,36.3,10,24.96,24.588552184733715,24.415430335847574,24.761674033619855
406,바이러스+치료제,TL13,36.3,11,28.02,24.588552184733715,24.415430335847574,24.761674033619855
214,바이러스+치료제,TL9,36.3,3,25.64,24.588552184733715,24.415430335847574,24.761674033619855
229,바이러스+치료제,TH5,36.3,3,18.56,24.588552184733715,24.415430335847574,24.761674033619855
232,바이러스+치료제,TH8,36.4,3,24.15,24.63980128368559,24.465428325446485,24.814174241924693
138,바이러스+치료제,TL1,36.4,2,26.43,24.63980128368559,24.465428325446485,24.814174241924693
278,바이러스+치료제,TH4,36.4,4,20.34,24.63980128368559,24.465428325446485,24.814174241924693
118,바이러스+치료제,TH2,36.4,1,25.1,24.63980128368559,24.465428325446485,24.814174241924693
224,바이러스+치료제,TL8,36.4,3,24.28,24.63980128368559,24.465428325446485,24.814174241924693
108,바이러스+치료제,TL3,36.4,1,22.21,24.63980128368559,24.465428325446485,24.814174241924693
83,바이러스+치료제,TL15,36.4,1,31.0,24.63980128368559,24.465428325446485,24.814174241924693
42,바이러스+치료제,TL6,36.4,0,25.51,24.63980128368559,24.465428325446485,24.814174241924693
25,바이러스+치료제,TL11,36.4,0,24.73,24.63980128368559,24.465428325446485,24.814174241924693
213,바이러스+치료제,TL8,36.4,3,26.13,24.63980128368559,24.465428325446485,24.814174241924693
18,바이러스+치료제,TL4,36.4,0,24.13,24.63980128368559,24.465428325446485,24.814174241924693
210,바이러스+치료제,TL5,36.4,3,24.98,24.63980128368559,24.465428325446485,24.814174241924693
123,바이러스+치료제,TH7,36.4,1,24.97,24.63980128368559,24.465428325446485,24.814174241924693
54,바이러스+치료제,TH7,36.5,0,25.11,24.691050382637467,24.515300663171875,24.86680010210306
145,바이러스+치료제,TL8,36.5,2,25.6,24.691050382637467,24.515300663171875,24.86680010210306
392,바이러스+치료제,TL14,36.5,8,23.02,24.691050382637467,24.515300663171875,24.86680010210306
396,바이러스+치료제,TL13,36.5,9,27.7,24.691050382637467,24.515300663171875,24.86680010210306
159,바이러스+치료제,TL8,36.5,2,24.53,24.691050382637467,24.515300663171875,24.86680010210306
166,바이러스+치료제,TH4,36.5,2,24.18,24.691050382637467,24.515300663171875,24.86680010210306
281,바이러스+치료제,TH7,36.5,4,20.64,24.691050382637467,24.515300663171875,24.86680010210306
202,바이러스+치료제,TL7,36.5,2,21.8,24.691050382637467,24.515300663171875,24.86680010210306
199,바이러스+치료제,TL4,36.5,2,27.4,24.691050382637467,24.515300663171875,24.86680010210306
209,바이러스+치료제,TL4,36.5,3,24.25,24.691050382637467,24.515300663171875,24.86680010210306
246,바이러스+치료제,TH7,36.5,3,24.51,24.691050382637467,24.515300663171875,24.86680010210306
200,바이러스+치료제,TL5,36.5,2,25.7,24.691050382637467,24.515300663171875,24.86680010210306
422,바이러스+치료제,TL14,36.5,14,25.65,24.691050382637467,24.515300663171875,24.86680010210306
26,바이러스+치료제,TH1,36.6,0,25.89,24.742299481589345,24.565050276955617,24.919548686223074
103,바이러스+치료제,TH9,36.6,1,23.0,24.742299481589345,24.565050276955617,24.919548686223074
16,바이러스+치료제,TL2,36.6,0,25.17,24.742299481589345,24.565050276955617,24.919548686223074
133,바이러스+치료제,TL6,36.6,1,19.6,24.742299481589345,24.565050276955617,24.919548686223074
31,바이러스+치료제,TH6,36.6,0,26.0,24.742299481589345,24.565050276955617,24.919548686223074
