,Group,Sample,BW,dpi,BT,pred_y,CI_lower,CI_upper
220,바이러스 접종군,V8,23.02,3,35.5,24.178559393118707,24.01950458732624,24.33761419891117
215,바이러스 접종군,V3,28.99,3,35.5,24.178559393118707,24.01950458732624,24.33761419891117
397,바이러스 접종군,V2,21.3,6,35.5,24.178559393118707,24.01950458732624,24.33761419891117
235,바이러스 접종군,V8,23.02,3,35.5,24.178559393118707,24.01950458732624,24.33761419891117
356,바이러스 접종군,V12,20.36,5,35.5,24.178559393118707,24.01950458732624,24.33761419891117
140,바이러스 접종군,V9,26.23,2,35.5,24.178559393118707,24.01950458732624,24.33761419891117
400,바이러스 접종군,V5,21.3,6,35.5,24.178559393118707,24.01950458732624,24.33761419891117
399,바이러스 접종군,V4,21.3,6,35.5,24.178559393118707,24.01950458732624,24.33761419891117
398,바이러스 접종군,V3,21.3,6,35.5,24.178559393118707,24.01950458732624,24.33761419891117
396,바이러스 접종군,V1,21.3,6,35.5,24.178559393118707,24.01950458732624,24.33761419891117
395,바이러스 접종군,V10,21.3,5,35.5,24.178559393118707,24.01950458732624,24.33761419891117
270,바이러스 접종군,V7,29.63,4,35.6,24.229808492070585,24.07022909743522,24.38938788670595
64,바이러스 접종군,V9,26.4,0,35.6,24.229808492070585,24.07022909743522,24.38938788670595
289,바이러스 접종군,V11,21.01,4,35.6,24.229808492070585,24.07022909743522,24.38938788670595
472,바이러스 접종군,V11,24.93,7,35.7,24.281057591022464,24.12084402804296,24.441271154001967
272,바이러스 접종군,V9,27.1,4,35.7,24.281057591022464,24.12084402804296,24.441271154001967
390,바이러스 접종군,V5,20.4,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
389,바이러스 접종군,V4,20.4,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
388,바이러스 접종군,V3,20.4,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
341,바이러스 접종군,V12,27.33,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
386,바이러스 접종군,V1,20.4,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
354,바이러스 접종군,V10,23.01,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
387,바이러스 접종군,V2,20.4,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
343,바이러스 접종군,V14,27.02,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
384,바이러스 접종군,V5,20.4,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
385,바이러스 접종군,V6,20.4,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
383,바이러스 접종군,V4,20.4,5,35.7,24.281057591022464,24.12084402804296,24.441271154001967
374,바이러스 접종군,V5,23.02,5,35.8,24.33230668997433,24.171350674377308,24.49326270557136
269,바이러스 접종군,V6,30.12,4,35.8,24.33230668997433,24.171350674377308,24.49326270557136
